"","x_id","area_name","year","assault"
"1",1,"South Eglinton-Davisville","2014",63
"2",2,"North Toronto","2014",45
"3",3,"Dovercourt Village","2014",56
"4",4,"Junction-Wallace Emerson","2014",154
"5",1,"South Eglinton-Davisville","2015",61
"6",2,"North Toronto","2015",52
"7",3,"Dovercourt Village","2015",57
"8",4,"Junction-Wallace Emerson","2015",157
"9",1,"South Eglinton-Davisville","2016",70
"10",2,"North Toronto","2016",43
"11",3,"Dovercourt Village","2016",79
"12",4,"Junction-Wallace Emerson","2016",166
"13",1,"South Eglinton-Davisville","2017",82
"14",2,"North Toronto","2017",52
"15",3,"Dovercourt Village","2017",94
"16",4,"Junction-Wallace Emerson","2017",157
"17",1,"South Eglinton-Davisville","2018",85
"18",2,"North Toronto","2018",55
"19",3,"Dovercourt Village","2018",94
"20",4,"Junction-Wallace Emerson","2018",157
"21",1,"South Eglinton-Davisville","2019",70
"22",2,"North Toronto","2019",77
"23",3,"Dovercourt Village","2019",96
"24",4,"Junction-Wallace Emerson","2019",182
